sifra,tip,stanica,datum_vrijeme,T,vlaga,RR,vjetar,smjer_kod,udar,insolacija,pritisak
02LKOT20,klimatološka,Luka Kotor,18.08.2026 15:26,27.20,,,2.90,,4.70,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 15:00,26.09,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 15:00,20.07,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 15:00,24.08,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 15:00,18.81,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 15:00,25.10,,0.00,7.00,32,12.20,,
02POSC30,klimatološka,Pošćenje,18.08.2026 15:00,25.22,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 15:00,26.05,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 15:00,21.02,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 15:00,27.19,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 15:00,22.03,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 15:00,25.80,,0.00,4.30,14,6.20,,
02VIRP20,klimatološka,Virpazar,18.08.2026 15:00,31.00,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 17:40,28.90,,0.00,3.40,26,,300.2,1007.9
02BERA20,glavna,Berane,18.08.2026 17:00,23.40,,0.00,0.80,18,2.20,,934.25
02CTNJ10,glavna,Cetinje,18.08.2026 17:40,26.50,,0.00,0.70,22,,168.0,937.5
02HNOV10,glavna,Herceg Novi,18.08.2026 17:40,30.70,,0.00,0.90,32,,318.3,1004.2
02KOLS10,glavna,Kolašin,18.08.2026 17:40,19.40,,0.00,0.40,18,,55.7,906.9
02NIKS10,glavna,Nikšić,18.08.2026 17:40,26.00,,0.00,1.10,30,,65.4,937.0
02PDGR10,glavna,Podgorica,18.08.2026 17:40,30.40,,0.00,4.30,2,,85.8,1002.0
02PLJV10,glavna,Pljevlja,18.08.2026 17:40,24.40,,0.00,2.10,2,,168.7,923.7
02ULCN10,glavna,Ulcinj,18.08.2026 17:40,29.90,,0.00,3.20,24,,309.2,1007.7
02ZBLJ10,glavna,Žabljak,18.08.2026 17:40,19.00,,0.00,0.10,6,,129.8,854.6
02BIST20,klimatološka,Bistrica,18.08.2026 17:00,23.10,,0.00,3.40,32,4.60,,
02BOAN30,klimatološka,Boan,18.08.2026 17:00,22.31,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 17:00,24.95,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 17:00,30.71,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 17:00,18.46,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 17:00,28.30,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 17:00,23.75,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 17:00,19.60,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 17:00,25.99,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 17:00,21.76,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 17:00,20.94,,,,,,,
02KOVR30,klimatološka,Kovren,18.08.2026 17:00,20.32,,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 17:00,21.98,,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,18.08.2026 17:11,27.20,,,2.40,,4.40,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 17:00,22.76,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 17:00,19.15,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 17:00,22.24,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 17:00,19.48,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 17:00,25.57,,0.00,4.70,32,7.80,,
02POSC30,klimatološka,Pošćenje,18.08.2026 17:00,22.33,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 17:00,24.99,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 17:00,20.15,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 17:00,27.26,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 17:00,21.11,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 17:00,24.60,,0.00,1.70,16,3.00,,
02VIRP20,klimatološka,Virpazar,18.08.2026 17:00,30.50,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 18:50,28.10,,0.00,2.50,26,,92.8,1008.0
02BERA20,glavna,Berane,18.08.2026 18:00,22.30,,0.00,0.80,18,2.30,,934.22
02CTNJ10,glavna,Cetinje,18.08.2026 18:50,26.80,,0.00,0.30,10,,92.6,937.7
02HNOV10,glavna,Herceg Novi,18.08.2026 18:50,29.10,,0.00,0.90,28,,41.1,1003.8
02KOLS10,glavna,Kolašin,18.08.2026 18:50,17.90,,0.00,0.90,18,,19.0,907.1
02NIKS10,glavna,Nikšić,18.08.2026 18:50,25.50,,0.00,1.30,24,,54.3,937.2
02PDGR10,glavna,Podgorica,18.08.2026 18:50,29.60,,0.00,3.30,2,,50.9,1002.2
02PLJV10,glavna,Pljevlja,18.08.2026 18:50,22.70,,0.00,1.20,2,,30.4,923.6
02ULCN10,glavna,Ulcinj,18.08.2026 18:50,29.10,,0.00,2.90,26,,100.6,1007.9
02ZBLJ10,glavna,Žabljak,18.08.2026 18:50,18.00,,0.00,1.90,6,,45.0,854.6
02BIST20,klimatološka,Bistrica,18.08.2026 18:00,22.10,,0.00,3.60,32,5.60,,
02BOAN30,klimatološka,Boan,18.08.2026 18:00,21.78,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 18:00,24.48,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 18:00,30.58,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 18:00,19.50,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 18:00,28.20,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 18:00,20.84,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 18:00,19.44,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 18:00,24.31,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 18:00,21.17,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 18:00,20.57,,,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 18:00,19.81,,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,18.08.2026 18:21,26.40,,,3.20,,4.70,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 18:00,22.26,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 18:00,17.36,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 18:00,21.04,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 18:00,19.47,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 18:00,24.82,,0.00,5.80,32,9.90,,
02POSC30,klimatološka,Pošćenje,18.08.2026 18:00,22.06,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 18:00,24.69,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 18:00,18.51,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 18:00,25.91,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 18:00,20.02,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 18:00,24.60,,0.00,2.60,18,3.40,,
02VIRP20,klimatološka,Virpazar,18.08.2026 18:00,32.90,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 19:50,27.00,,0.00,2.50,26,,1.4,1008.3
02BERA20,glavna,Berane,18.08.2026 19:00,21.11,,0.00,0.80,16,2.50,,934.33
02CTNJ10,glavna,Cetinje,18.08.2026 19:50,22.40,,0.00,0.20,26,,1.9,938.2
02HNOV10,glavna,Herceg Novi,18.08.2026 19:50,27.30,,0.00,0.60,28,,2.2,1004.0
02KOLS10,glavna,Kolašin,18.08.2026 19:50,17.40,,0.00,0.40,22,,1.3,907.4
02NIKS10,glavna,Nikšić,18.08.2026 19:50,23.90,,0.00,1.10,10,,2.5,937.5
02PDGR10,glavna,Podgorica,18.08.2026 19:50,28.90,,0.00,2.70,32,,1.6,1002.6
